Crash_Date,Crash_Time,Aircraft_SN,Aircraft_Type,Summarized_Name,Ejection_Seats,Base,Wing,Squadron,Mission_Type,Weapon,Target_Objective,Ceiling_Vis,Maneuver,Pass,Angle,Altitude,Airspeed,Mission_Phase,Where_Hit,Fire_Observed,Hit_Country,Loss_Country,Latitude,Longitude,Defense_Type,Defense_Category,Pilot_Hit,Pilot_Rank,Pilot,Pilot_Egress,Pilot_Condition,Pilot_Recovered,Pilot_Status
1967-05-21 00:00:00,0055D,52133855,A-1E,A-1 Skyraider,Y,PLK,14ACW,1ACS,"",_,_,2000/..,Climb,0,0,1000,0,Enroute,_,N,SVn,SVn,14.0833333333333,107.933333333333,Small arms,Small Arms Fire,N,Maj,Holler J. C.,Ejection,Major injuries,_,Recovered
1967-05-21 00:00:00,0920D,563285,F-100D,F-100 Super Sabre,Y,BHA,3TFW,531TFS,"",Napalm,Troops,/7,_,5,0,200,0,At target,_,Y,SVn,SVn,11.1666666666667,106.833333333333,Automatic weapons,AAA,_,Capt,Lindberg D. C.,Crash,_,_,KIA
1967-05-22 00:00:00,0628D,5115102,O-1E,O-1 Bird Dog,N,DNG,_,20TASS,"",_,_,/20,_,0,0,8000,0,_,_,_,NVn,NVn,17.0166666666667,106.9,SAM,SAM,p,LtCol,Holmes L. E.,Crash,_,_,KIA
1967-05-22 00:00:00,1252N,640708,F-4C,F-4 Phantom,Y,UBN,8TFW,497TFS,"",_,Cao Nung railroad yard,/15,Level,1,0,500,0,Enroute,_,_,NVn,NVn,21.55,106.483333333333,Heavy barrage 37/57mm AAA,AAA,p,Capt,Perrine E. L.,_,_,_,MIA
1967-05-22 00:00:00,1327N,637692,F-4C,F-4 Phantom,Y,UBN,8TFW,497TFS,"",_,Kep railroad yard,/15,Level,1,0,200,480,Enroute,_,_,NVn,NVn,21.2,107.216666666667,Heavy 37/57mm AAA,AAA,N,Maj,Vogel R. D.,Ejection,Injured,_,POW (returned)
1967-05-25 00:00:00,0615D,640714,F-4C,F-4 Phantom,Y,CRB,12TFW,557TFS,"",_,Structures,/..,Dive,0,0,11000,0,At target,_,Y,NVn,Sea,17.25,107.2,57mm AAA,AAA,N,Maj,Rhymes C. C.,Ejection,Minor injuries,USAF Helo,Recovered
1967-05-27 00:00:00,0058D,591723,F-105D,F-105 Thunderchief,Y,TKL,355TFW,333TFS,"",_,Bac Giang railroad yard,/15,Dive,0,45,10000,500,Enroute,_,_,NVn,NVn,21.4,106.25,SAM,SAM,_,Capt,Blackwood G. B.,Ejection,_,_,MIA
1967-05-30 00:00:00,1040Ds,640668,F-4C,F-4 Phantom,Y,DNG,366TFW,480TFS,"",_,Black Route,/10,Jink,0,0,4500,450,At target,Left engine,N,NVn,Sea,17.5833333333333,106.85,AAA (prob.),AAA,N,Maj,Schrupp W. C.,Ejection,Minor injuries,USN Ship,Recovered
1967-05-31 00:00:00,0940D,637603,F-4C,F-4 Phantom,Y,DNG,366TFW,389TFS,"",_,Kep barracks,/..,Strafe,0,0,11000,500,Return,_,N,NVn,Sea,17.95,107.183333333333,85mm AAA (prob.),AAA,N,Maj,Fulcher M. C.,Ejection,Minor injuries,USN Helo,Recovered
1967-06-02 00:00:00,0832D,610190,F-105D,F-105 Thunderchief,Y,KRT,388TFW,34TFS,"",_,Kep railroad yard (NE),2000/15,Level,1,0,16000,520,Enroute,_,Y,NVn,NVn,21.4333333333333,106.316666666667,Heavy 85mm AAA (prob.),AAA,_,Maj,Smith D. L.,Ejection,_,_,POW (returned)
1967-06-02 00:00:00,1400N,637548,F-4C,F-4 Phantom,Y,DNG,366TFW,390TFS,"",_,Mu Gia pass area,/10,Orbit,3,0,3000,0,Return,_,_,NVn,NVn,17.8333333333333,106.45,Light barrage 37mm AAA (prob.),AAA,p,Capt,Rockett A. C. Jr,_,_,_,MIA
